User-ID;first_name;last_name;Location;Age
129;Gregg;Kovacek;bloomington, minnesota, usa;47.0
132;Dee;Baumbach;silver spring, maryland, usa;38.0
133;Gina;Ward;jacksonville, florida, usa;45.0
135;Emmaline;McCullough;berkshire, new york, usa;
139;Willian;Goodwin;baltimore, maryland, usa;35.0
141;Jaime;Hermiston;darien, new york, usa;
144;Arturo;Pouros;cape girardeau, missouri, usa;62.0
151;Nikole;Kautzer;darwin, northern territory, australia;
160;Shila;Sporer;almada, n/a, portugal;20.0
162;Amina;Carroll;newark, delaware, usa;
165;Elyse;Mohr;olympia, washington, usa;62.0
169;Gregorio;Kulas;arlington, virginia, usa;
176;Lisabeth;Kassulke;london, london, united kingdom;34.0
178;Kerry;Green;rexford, new york, usa;28.0
183;Reatha;Mueller;porto, porto, portugal;27.0
185;Hubert;Dach;baton rouge, louisiana, usa;17.0
190;Joesph;Bernier;wezembeek-oppem, brussels, belgium;33.0
193;Robert;Rolfson;mumbai, maharashtra, india;23.0
199;Irmgard;Hoppe;austin, texas, usa;38.0
202;Archie;Ullrich;ottawa, ontario, canada;28.0
204;Jamal;Daniel;turner, oregon, usa;15.0
207;Shizue;Schultz;west bend, wisconsin, usa;
212;Georgann;Adams;manila, n/a, philippines;21.0
215;Rufina;Predovic;port alberni, british columbia, canada;20.0
217;Ethyl;Shields;spencer, massachusetts, usa;
224;Jules;Rowe;strafford, missouri, usa;
226;Dong;Rosenbaum;new york, new york, usa;
228;Sally;Altenwerth;ann arbor, michigan, usa;41.0
230;Angela;Lesch;ny, new york, usa;
232;Page;DuBuque;mumbai, maharashtra, india;16.0
236;Latasha;Haley;s. pasadena, california, usa;
237;Roderick;Ziemann;plymouth, minnesota, usa;27.0
241;Rey;Botsford;auburn, alabama, usa;
242;Jose;Cummerata;neuffen, baden-wuerttemberg, germany;37.0
243;Valrie;Cremin;arden hills, minnesota, usa;
244;Herb;Hermiston;college station, texas, usa;
247;Sylvie;Cronin;zografou, athens, greece;23.0
250;Isidro;Hermann;minneapolis, minnesota, usa;25.0
254;Guy;Hudson;minneapolis, minnesota, usa;24.0
256;Chas;Wisozk;boston, massachusetts, usa;
257;Joel;Halvorson;quit, quit, quit;
272;Monte;Grimes;walla walla, washington, usa;20.0
273;Vennie;Feeney;snohomish, washington, usa;
278;Anderson;Torphy;chicago, illinois, usa;21.0
280;Amado;Rutherford;yakima, washington, usa;
289;Lon;Moore;tampa, florida, usa;15.0
291;Marjorie;Volkman;ft. collins, colorado, usa;
300;Orville;Stanton;newport news, virginia, usa;
302;Carita;Rohan;capitola, california, usa;53.0
306;Palmer;Harris;boston, massachusetts, usa;
310;Alleen;Padberg;barcelona, n/a, spain;26.0
311;Joaquina;Daniel;ridderkerk, n/a, netherlands;34.0
313;Kevin;Rolfson;rutherford, new jersey, usa;
323;Graig;Metz;seattle, washington, usa;23.0
326;Katheleen;Watsica;parkville, missouri, usa;
327;Asa;Willms;dallas, texas, usa;
332;Alberto;Murphy;lake oswego, oregon, usa;59.0
334;Lenard;Sanford;jyväskylä, n/a, finland;27.0
337;Clayton;Monahan;málaga, n/a, spain;17.0
338;Patrick;Dooley;minneapolis, minnesota, usa;
339;Rosie;Pfeffer;tampere, pirkanmaa, finland;20.0
343;Royal;Wunsch;mesa, arizona, usa;
345;Santina;Hamill;columbia, tennessee, usa;27.0
356;Sean;Russel;leesburg, virginia, usa;
361;An;Kessler;premià de dalt, barcelona, spain;25.0
362;Adriene;Armstrong;thunder bay, ontario, canada;63.0
367;Gino;Langosh;culver city, california, usa;45.0
372;Billy;Paucek;bamberg, bayern, germany;22.0
376;Sheila;Feest;fishers, indiana, usa;35.0
383;Genia;Lueilwitz;carmichael, california, usa;
384;Kenia;Hauck;bucuresti, n/a, romania;23.0
387;Irwin;Volkman;charity, missouri, usa;17.0
388;Claudine;Hauck;nashville, tennessee, usa;35.0
392;Bennie;Jenkins;barcelona, catalunya, spain;44.0
393;Bobbye;Runolfsson;brighton, east sussex, united kingdom;24.0
400;Colby;Conroy;st. louis, missouri, usa;
406;Tracy;Davis;madrid, madrid, spain;37.0
408;Fernande;Haley;mountain view, california, usa;17.0
413;Adina;Marquardt;naperville, illinois, usa;17.0
422;Opal;Rice;edmonton, alberta, canada;23.0
424;Vicenta;Schulist;portland, oregon, usa;29.0
430;Billie;Heaney;silver spring, maryland, usa;
431;Shannon;Larson;ridgway, pennsylvania, usa;40.0
432;Regan;Beahan;kansas city, missouri, usa;
433;Mike;Reichel;smock, pennsylvania, usa;48.0
435;Damien;Bahringer;naples, florida, usa;
439;Shad;Bartell;tiburon, california, usa;
440;Alona;Hayes;brookfield, wisconsin, usa;16.0
441;Eleni;Reinger;spokane, washington, usa;
444;Dominga;Schinner;sweet home, oregon, usa;40.0
446;Booker;Gibson;chevy chase, dc, usa;
447;Brittanie;Donnelly;medford, new jersey, usa;
453;Madelaine;Donnelly;charleston, west virginia, usa;
460;Ezra;Hettinger;roma, italy, italy;
463;Chester;Ondricka;rouse hill, new south wales, australia;20.0
469;Bobette;Franecki;corona, california, usa;18.0
472;Louetta;Wehner;livingston, new jersey, usa;
475;Farrah;Kuhn;vancouver, british columbia, canada;34.0
476;Genevie;Casper;rome, new york, usa;
479;Arthur;Huel;iowa city, iowa, usa;
483;Santo;Koepp;shelton, washington, usa;72.0
486;Harris;Lowe;portland, oregon, usa;31.0
487;Fredrick;Pfannerstill;houston, texas, usa;
489;Norine;Senger;cape girardeau, missouri, usa;
493;Julius;Considine;manhattan, kansas, usa;29.0
494;Earnest;Pouros;parry sound, ontario, canada;
496;Vi;Howell;west salem, wisconsin, usa;51.0
499;Mario;Miller;la verne, california, usa;62.0
500;Dotty;Kihn;san antonio, texas, usa;17.0
501;Nova;Littel;richmond, virginia, usa;
503;Zula;McKenzie;el centro, california, usa;40.0
505;Giuseppe;Balistreri;washington, dc, usa;51.0
507;Ferdinand;Kulas;dumas, arkansas, usa;
508;Kristi;Brekke;portland, oregon, usa;29.0
512;Eva;Hammes;winter springs, florida, usa;58.0
513;Fidel;Roberts;savannah, georgia, usa;
516;Kay;Wiza;seattle, washington, usa;
523;Rosetta;Stark;bozeman, montana, usa;19.0
530;Marcellus;Walker;moab, utah, usa;47.0
537;Ira;White;davis, california,;
538;Adolfo;Ondricka;perryville, missouri, usa;26.0
542;Austin;Stanton;fort worth, texas, usa;
547;Gavin;Brekke;presque isle, maine, usa;
558;Victor;Dooley;burnaby, ,;
559;Judie;Sporer;pulaski, virginia, usa;
565;Ervin;Schmitt;franklin, tennessee, usa;48.0
566;Mauro;Wehner;springfield, illinois, usa;
567;Lilian;Hermiston;spokane, washington, usa;
569;Oren;Feeney;lahore, punjab, pakistan;28.0
585;Kam;Prohaska;milano, lombardia, italy;
592;Connie;Walter;boston, massachusetts, usa;
595;Steven;Wyman;hollywood, florida, usa;17.0
596;Marshall;Dare;san francisco, california, usa;49.0
602;Gene;Wunsch;forest grove, oregon, usa;23.0
618;Von;Tremblay;providence, rhode island, usa;
619;Lucretia;Lueilwitz;long beach, mississippi, usa;
620;Monte;Muller;toronto, ontario, canada;45.0
625;Mohammad;Grant;marseille, provence, france;41.0
626;Percy;Bogisich;graz, steiermark, austria;41.0
628;Clayton;Tromp;berlin, berlin, germany;
638;Cherry;Hermann;san diego, california, usa;20.0
639;Jerrold;Pagac;washington dc, virginia, usa;
640;Sandy;Barton;scotch village, nova scotia, canada;
641;Lesley;Schuppe;portland, oregon, usa;
643;Roseline;Hilpert;grenoble, rhone-alpes, france;23.0
645;Elinor;Thompson;ottawa, ontario, canada;
649;Sandy;Kuhn;san diego, california, usa;
650;Darrick;Price;santa cruz, california, usa;
651;Natalya;Rutherford;interlachen, florida, usa;26.0
657;Gabriel;Kassulke;chattanooga, tennessee, usa;
660;Laurence;Roob;ny, new york, usa;
677;Peter;Lebsack;baton rouge, louisiana, usa;27.0
683;Lacy;Blanda;union, illinois, usa;28.0
685;Wilfredo;Tromp;stevens point, wisconsin, usa;21.0
695;Sammie;McClure;alphen aan den rijn, zuid holland, netherlands;
698;Peter;Satterfield;palo alto, california, usa;
701;Vernon;Conroy;mountain view, california, usa;31.0
705;Brain;Macejkovic;asti, piemonte, italy;
707;Lazaro;Metz;san antonio, texas, usa;
708;Luke;Hagenes;duluth, minnesota, usa;
709;Marylyn;Moen;roanoke, virginia, usa;14.0
711;Major;Kuphal;oxford, england, united kingdom;27.0
712;Kylee;Cummings;pratteln, baselland, switzerland;29.0
713;Agustin;Torphy;abingdon, n/a, united kingdom;49.0
714;Marylin;Konopelski;austin, texas, usa;
717;Darren;Reichert;spring hill, florida, usa;
720;Glinda;Schuster;washington dc, dc, usa;16.0
724;Lois;Donnelly;jamestown, california, usa;
726;Jin;Satterfield;eatontown, new jersey, usa;31.0
728;Vincent;Spinka;welsh, louisiana, usa;
730;Lawerence;Emmerich;albuquerque, new mexico,;69.0
735;Fidelia;Pfannerstill;cortland, new york, usa;29.0
736;Tarsha;Hilpert;trebur, hessen, germany;34.0
737;Lizette;Thiel;albuquerque, new mexico, usa;
739;Cecil;Borer;oakdale, minnesota, usa;55.0
741;Armandina;Keeling;novinger, missouri, usa;16.0
778;Emile;Bailey;bradenton, florida, usa;
780;Garfield;Volkman;woodland hills, california, usa;
805;Denny;Wyman;sonoma, california, usa;34.0
819;Irwin;Kuhlman;deer park, new york, usa;
843;Starla;Lindgren;deer lodge, tennessee, usa;25.0
882;Shanti;Bogisich;berkeley, california, usa;23.0
885;Rayna;Lehner;jacksonville, texas, usa;
899;Luana;Gibson;bielefeld, nordrhein-westfalen, germany;23.0
900;Muoi;Koch;scranton, pennsylvania, usa;25.0
901;Micheline;Ruecker;worcester, worcestershire, united kingdom;21.0
915;Tobias;Bode;humble, texas, usa;50.0
929;Rivka;Smith;king of prussia, ,;36.0
970;Jeanmarie;Boyer;sydney, new south wales, australia;15.0
989;Dominick;Lockman;san antonio, texas, usa;33.0
1008;Dino;Wilderman;boston, massachusetts, usa;
1025;Emelda;Jakubowski;maidstone, england, united kingdom;33.0
1031;Ardith;Raynor;sparks, maryland, usa;52.0
1032;Kaci;Fahey;lockhart, texas, usa;
1075;Bertie;Johnson;hurst, texas, usa;49.0
1100;Elbert;Yundt;saskatoon, saskatchewan, canada;24.0
1111;Doyle;Haag;london, ontario, canada;
1113;Liliana;Franecki;richmond, missouri, usa;22.0
1118;Hulda;Hayes;cleveland, , usa;
1129;Debi;Rodriguez;bothell, washington, usa;53.0
1131;Brooks;Willms;berkeley, ,;22.0
1140;Simonne;Gusikowski;bridgewater, new jersey, usa;19.0
1155;Micah;Kuhlman;smyrna, georgia, usa;22.0
1161;Jan;Kassulke;brier, washington, usa;
1167;Jolyn;Stroman;milwaukee, wisconsin, usa;25.0
1184;Morris;Nikolaus;la mirada, california, usa;38.0
1211;Enola;Douglas;rennes, bretagne, france;22.0
1235;Roseline;Kuhn;salt spring island, british columbia, canada;
1261;Genevie;Dare;el paso, texas, usa;46.0
1343;Rina;Kautzer;bishop auckland, england, united kingdom;33.0
1372;Lakisha;Sauer;frankfurt, hessen, germany;34.0
1376;Chauncey;Kub;peoria, illinois, usa;
1395;Barry;Mills;santa monica, california, usa;
1409;Carlotta;Champlin;farmington hills, michigan, usa;74.0
1410;Nan;Rath;amherst, new york, usa;22.0
1412;Len;Quitzon;winston-salem, north carolina, usa;47.0
1424;Lindy;Lind;north avoca, new south wales, australia;
1435;Marc;Howe;st. louis, missouri, usa;36.0
1486;Melva;Walker;montmorency, victoria, australia;75.0
1511;Elenora;Hilll;cuyahoga falls, ohio, usa;25.0
1530;Sylvia;Marquardt;hartsdale, new york, usa;26.0
1548;Gilberto;Gleichner;brooklyn, new york, usa;28.0
1559;Clayton;Daugherty;manchester, new hampshire, usa;
1596;Debby;Little;jackson, tennessee, usa;51.0
1608;Velvet;Tromp;collingswood, new jersey, usa;27.0
1619;Thurman;Kub;visalia, california, usa;
1650;Jermaine;Leffler;victoria, british columbia, canada;
1652;Kory;Schaden;new york, new york, usa;
1660;Gilbert;Ziemann;fort worth, texas, usa;
1674;Bruno;Turcotte;minneapolis, minnesota, usa;26.0
1725;Marcy;Wehner;palma, illes balears, united kingdom;25.0
1733;Moon;Hartmann;independence, west virginia, usa;30.0
1773;Marco;Goyette;northridge, california, usa;16.0
1792;Monte;Rutherford;hutchinson, kansas, usa;
1797;Angelena;Quigley;paris, paris, france;
1803;Bethany;Maggio;northville, new york, usa;48.0
1805;Patrick;Harber;euless, texas, usa;
1848;Jaime;Gutmann;bellingham, washington, usa;22.0
1863;Earlean;Bahringer;feucht, bayern, germany;43.0
1903;Duane;Rutherford;hualien, taiwan, taiwan;36.0
1928;Torri;Russel;kansas city, missouri, usa;17.0
2010;Fidel;Balistreri;colfax, illinois, usa;
2012;Pablo;Rempel;bray, wicklow,;34.0
2019;Noriko;Hackett;carcavelos, n/a, portugal;29.0
2041;Lyndsey;Stokes;playa del rey, california, usa;
2046;Bruno;Zemlak;philadelphia, missouri, usa;22.0
2087;Alton;Pagac;austin, texas, usa;
2103;Levi;Reilly;minneapolis, minnesota, usa;43.0
2110;Damian;Littel;charlotte, north carolina, usa;
2115;Tona;Krajcik;escondido, california, usa;55.0
2116;Elyse;Maggio;parrsboro, nova scotia, canada;
2139;Rusty;Rempel;chesapeake, virginia, usa;33.0
2152;Suzette;Ortiz;grosse pointe, michigan, usa;1.0
2179;Winston;Pagac;sunderland, massachusetts, usa;30.0
2183;Gail;Huel;burnaby, british columbia, canada;
2204;Magaly;Hartmann;el cajon, california, usa;
2268;Jo;Runte;coruña, galicia, spain;22.0
2275;Ruthanne;Hermiston;prescott, arizona, usa;22.0
2276;Abbie;Buckridge;niskayuna, new york, usa;46.0
2288;Trenton;Bosco;spring hill, tennessee, usa;30.0
2308;Hallie;Kling;florence, ,;21.0
2313;Clement;Hahn;cincinnati, ohio, usa;23.0
2316;Linwood;Smith;london, n/a, united kingdom;
2333;Lupita;Kub;ocean city, maryland, usa;
2337;Micah;Rosenbaum;grove city, ohio, usa;34.0
2358;Lelah;Ruecker;bryan, texas, usa;23.0
2366;Michael;Smith;lathrup village, michigan, usa;16.0
2375;Bernita;Krajcik;norfolk, virginia, usa;20.0
2386;Masako;Berge;pittsboro, north carolina, usa;40.0
2388;Fredricka;Rempel;hawley, pennsylvania, usa;64.0
2411;Isaias;Kemmer;lake city, florida, usa;37.0
2417;Steve;O'Reilly;lakeland, florida, usa;35.0
2462;Sammie;Bernier;kingston, , usa;
2499;Gladys;Fay;boulder, colorado, usa;49.0
2528;Angila;Hermann;the colony, texas, usa;
2529;Frances;Tromp;victoria, british columbia, canada;
2580;Gerald;Sauer;ann arbor, michigan, usa;
2630;Ngoc;Herman;kingsland, texas, usa;66.0
2632;Wiley;Bode;farmingdale, new york, usa;47.0
2638;Martin;Runte;burnaby, british columbia, canada;
2700;Rosalia;Hansen;kenosha, wisconsin, usa;29.0
2719;Ervin;Denesik;staten island, new york, usa;37.0
2738;Jessi;Wisozk;milano, lombardia, italy;32.0
2766;Johnsie;Shields;frisco, texas, usa;42.0
2770;Donny;Turcotte;champaign, illinois, usa;
2771;Ilse;Heaney;lake orion, michigan, usa;56.0
2790;Ailene;Kerluke;san antonio, texas, usa;50.0
2793;Korey;O'Conner;jefferson, georgia, usa;34.0
2830;Marcelina;Crooks;adelaide, south australia, australia;13.0
2854;Jack;Berge;deptford, new jersey, usa;36.0
2855;Matthew;Blanda;dallas, texas, usa;35.0
2859;Cornelius;Okuneva;citrus heights, california, usa;
2891;Curt;Feeney;beaverton, oregon, usa;
2907;Krista;Zieme;new york, new york, usa;
2933;Faith;Kulas;seattle, washington, usa;
2954;Ned;Sawayn;wichita, kansas, usa;71.0
2977;Lala;Bradtke;richland, washington, usa;25.0
2982;Marcelino;Langworth;montreal, quebec, canada;34.0
2992;Fernande;Boehm;san diego, california, usa;
3005;Tiffanie;Stracke;mountain view, california, usa;
3009;Emmaline;Aufderhar;stratford, connecticut, usa;
3017;Tasha;Bartell;roma, lazio, italy;
3020;Kirstie;Schoen;virginia beach, virginia, usa;37.0
3026;Quinton;Johns;kuala lumpur, kuala lumpur, malaysia;
3032;Ellie;Davis;sydney, new south wales, australia;40.0
3054;Deadra;Trantow;henrietta, new york, usa;
3079;Darrel;Jakubowski;asheville, north carolina, usa;
3093;Clarissa;Lockman;belle plaine, iowa, usa;46.0
3099;Anissa;Kling;umeå, västerbotten, sweden;
3104;Quincy;Marquardt;watertown, massachusetts, usa;27.0
3145;Edgardo;Rowe;austin, texas, usa;34.0
3148;Carl;Leffler;indianapolis, indiana, usa;
3154;Norbert;Dickens;new york, new york, usa;
3167;Hedy;Lubowitz;milwaukee, wisconsin, usa;42.0
3192;Karey;Smitham;milwaukee, wisconsin, usa;
3261;Leilani;Kulas;lenexa, ,;42.0
3282;Lavona;Waters;didsbury, alberta, canada;52.0
3310;Deshawn;Hermiston;tucson, arizona, usa;
3329;Rolland;Beer;grantsville, utah, usa;
3331;Alden;Reichel;mckeesport, pennsylvania, usa;60.0
3344;Idella;Daniel;tucson, arizona, usa;61.0
3346;Dulcie;Koepp;tehran, tehran, iran;20.0
3350;Krystin;Champlin;colorado springs, colorado, usa;23.0
3363;Erma;Ziemann;knoxville, tennessee, usa;29.0
3371;Stevie;Wyman;groveland, massachusetts, usa;25.0
3373;Lupe;Huels;elk grove, california, usa;30.0
3422;Gilberto;Donnelly;gawler east, south australia, australia;14.0
3427;Eldora;Runolfsdottir;eldorado, illinois, usa;50.0
3454;Brice;Bogisich;dallas, texas, usa;36.0
3509;George;Runolfsson;san diego, california, usa;29.0
3538;Cory;Von;madrid, madrid, spain;31.0
3542;Austin;Schuppe;jersey city, new jersey, usa;
3543;Pasquale;Funk;elgin, texas, usa;37.0
3556;Marshall;O'Conner;bismarck, north dakota, usa;68.0
3569;Edwina;Bins;n/a, n/a, usa;
3593;Yoko;Schulist;lahaina, hawaii, usa;
3628;Dallas;Bednar;easthampton, massachusetts, usa;
3640;Deshawn;Douglas;sacramento, california, usa;
3652;Jaye;Graham;levallois-perret, ile-de-france, france;16.0
3659;Zachariah;Ryan;toronto, ,;
3669;Wendy;Hahn;williamsburg, massachusetts, usa;34.0
3675;Nena;Tromp;barcelona, catalunya, spain;24.0
3694;Shea;Spinka;raleigh, north carolina, usa;16.0
3752;Les;Brekke;langenthal, bern, switzerland;44.0
3757;Toney;Hegmann;madrid, madrid, spain;
3761;Chloe;Hamill;san diego, california, usa;
3821;Josiah;Howell;scottdale, pennsylvania, usa;36.0
3827;Shan;Lang;orlando, florida, usa;23.0
3839;Mila;Dibbert;broomfield, colorado, usa;
3840;Chong;Cruickshank;meriden, connecticut, usa;46.0
3879;Emil;Glover;cliffside park, new jersey, usa;40.0
3886;Ashleigh;Gutmann;whitby, ontario, canada;
3917;Leon;Maggio;toronto, ontario, canada;25.0
3923;Eddie;Mraz;vienna, ,;
3935;Merrill;Williamson;cannon falls, minnesota, usa;
3948;Trena;Metz;asheville, north carolina, usa;
3977;Avis;Bergnaum;columbiana, alabama, usa;63.0
3991;Edison;Kovacek;monroe, new york, usa;30.0
3999;Boyce;Hegmann;new braunfels, texas, usa;71.0
4017;Fairy;Jacobs;new orleans, louisiana, usa;48.0
4024;Ralph;Morissette;nixa, missouri, usa;
4041;Terrell;Douglas;alamogordo, new mexico, usa;45.0
4059;Asuncion;Kirlin;portland, ,;
4091;Joleen;Haag;estill springs, tennessee, usa;77.0
4092;Stewart;Pagac;hixson, tennessee, usa;27.0
4098;Yuki;Treutel;mei foo, kowloon, hong kong;30.0
4131;Janette;Schaefer;hemel hempstead, england, united kingdom;51.0
4144;Yevette;Sanford;winnipeg, manitoba, canada;31.0
4149;Denisse;Muller;highland, utah, usa;
4157;Jack;Bergnaum;birmingham, alabama, usa;39.0
4164;Tresa;Gibson;anchorage, alaska, usa;
4169;Ethel;Shields;fairbanks, alaska, usa;57.0
4185;Ben;O'Kon;graham, washington, usa;63.0
4215;German;Zulauf;regensburg, bavaria, germany;
4221;Jared;Mayer;n/a, connecticut, usa;
4225;Nicky;Morissette;ottawa, ontario, canada;33.0
4228;Roberta;Quitzon;austin, texas, usa;41.0
4243;Sonja;Johns;wheelers hill, victoria, australia;52.0
4285;Hanna;Purdy;adrian, michigan, usa;50.0
4334;Nathanial;Goodwin;rome, lazio, italy;38.0
4365;Jaime;Dibbert;victoria, british columbia, canada;19.0
4370;Milan;Feest;kingston, ontario, canada;46.0
4376;Vance;Sauer;tuebingen, baden-wuerttemberg, germany;
4385;Vickey;Hackett;albq, new mexico, usa;33.0
4431;Betsey;McGlynn;lewisville, texas, usa;
4435;Vincent;Oberbrunner;roma, lazio, italy;30.0
4514;Bart;Klein;vila nova de famalicão, braga, portugal;23.0
4541;Numbers;Effertz;atlanta, georgia, usa;32.0
4556;Henry;Sanford;south berwick, maine, usa;
4571;Trevor;Nolan;melbourne, victoria, australia;23.0
4600;Brandon;Marvin;little rock, arkansas, usa;32.0
4622;Stanley;Swift;norfolk, virginia, usa;18.0
4694;Dion;Keeling;buenos aires, buenos aires, argentina;48.0
4781;Caterina;Labadie;manchester, new hampshire, usa;47.0
4784;Pok;Schiller;arvada, colorado, usa;21.0
4785;Kiyoko;White;litchfield, connecticut, usa;30.0
4794;Bessie;McClure;albuquerque, new mexico, usa;14.0
4795;Neida;Mante;rochester, new york, usa;18.0
4802;Lanita;Tillman;london, england, united kingdom;28.0
4821;Ethelene;Rice;lagrangeville, new york, usa;44.0
4854;Sarai;Rutherford;port hope, ontario, canada;
4864;Stanford;Olson;atascadero, california, usa;30.0
4878;Salvatore;Harber;mt.pleasant, south carolina, usa;
4900;Alisia;Kertzmann;washington, dc,;26.0
4938;Precious;Kirlin;charleston, south carolina, usa;30.0
4954;Sebastian;McClure;portland, oregon, usa;
5003;Tamela;Windler;snohomish, washington, usa;
5012;Sulema;Mitchell;san francisco, california, usa;21.0
5037;Dean;Halvorson;dodge center, minnesota, usa;26.0
5049;Jewell;Konopelski;inver grove heights, minnesota, usa;32.0
5091;Patrina;Hilll;swieqi, n/a, malta;
5101;Florentina;Walsh;montreal, quebec, canada;
5126;Jorge;Rodriguez;chula vista, california, usa;53.0
5153;Latoria;Ullrich;matosinhos, porto, portugal;31.0
5158;Don;Feest;lyon, rhone, france;21.0
5170;Teodoro;Nolan;newark, california, usa;18.0
5204;Latasha;Jacobson;lyon, rhône-alpes, france;24.0
5209;Fay;Sawayn;medford, new jersey, usa;48.0
5264;Waldo;Bartell;hannover, niedersachsen, germany;
5268;Nicolas;Kozey;chandler, arizona, usa;
5273;Rowena;Stracke;los angeles, california, usa;
5275;Isaiah;Feest;troy, ontario, canada;
5287;Dominick;Huels;ottawa, ontario, canada;22.0
5296;Carson;Effertz;brooklyn, new york, usa;34.0
5331;Lucio;Fay;hull, england, united kingdom;26.0
5333;Maxine;VonRueden;rotterdam, rotterdam, netherlands;49.0
5351;Hanna;Welch;new plymouth, taranaki, new zealand;74.0
5358;Deon;Morar;richardson, texas, usa;52.0
5375;Danuta;Buckridge;placerville, california, usa;47.0
5439;Rudolph;O'Connell;houston, texas, usa;66.0
5471;Shaniqua;Zemlak;barcelona, catalunya, spain;60.0
5476;Reggie;Wilkinson;chester, ,;
5479;Emmitt;Bosco;statesboro, georgia, usa;27.0
5483;Liza;Purdy;bayan lepas, penang, malaysia;20.0
5499;Clara;Schulist;lakeland, tennessee,;60.0
5506;Ivan;Hoeger;cortlandt manor, new york, usa;19.0
5539;Wilton;Considine;austin, texas, usa;32.0
5543;Wynell;Grimes;cumberland, maryland, usa;29.0
5555;Pablo;Sauer;perigny, poitou-charentes, france;
5559;Sylvie;Schiller;lakeland, florida, usa;37.0
5581;Maple;Greenholt;newtown, new south wales, australia;22.0
5582;Terry;Moore;seattle, washington, usa;26.0
5600;Kip;Nienow;dallas, texas, usa;
5604;Brigida;Larson;hattenhofen, bayern, germany;48.0
5609;Rogelio;Pfeffer;oradea, bihor, romania;25.0
5635;Arturo;Zieme;new york, new york, usa;26.0
5638;Colton;Grady;binghamton, new york, usa;
5669;Solomon;Brown;chicago, illinois, usa;
5709;Dudley;Reilly;bayan lepas, penang, malaysia;15.0
5710;Rosario;Rath;austin, texas, usa;28.0
5722;Bud;Beahan;providence, rhode island, usa;23.0
5727;Ron;Tromp;plymouth, minnesota, usa;
5728;Clarence;Hane;cullowhee, north carolina, usa;22.0
5737;Dorsey;Dare;newcastle, washington, usa;44.0
5760;Domenica;Stiedemann;springfield, ,;19.0
5766;Rubin;Dicki;powder springs, georgia, usa;40.0
5774;Garfield;Russel;dallas, texas, usa;32.0
5783;Keenan;Davis;fullerton, california, usa;32.0
5815;Nyla;Marvin;rockville, maryland, usa;
5850;Jenni;Hagenes;seattle, ,;
5899;Taneka;Mante;ulm, baden-wuerttemberg, germany;25.0
5902;Michal;Borer;columbia, illinois, usa;49.0
5903;Clarita;Senger;vienna, vienna, austria;25.0
5916;Vincent;Price;vermont, victoria, australia;31.0
5922;Delana;Gorczany;bozeman, montana, usa;19.0
5942;Minna;Windler;harrisburg, missouri, usa;
5956;Sheldon;Hoppe;indianapolis, indiana, usa;27.0
5998;Francis;Paucek;seattle, washington, usa;32.0
